Id;Green_MS;Yellow_MS;Orange1_MS;Orange2_MS;Red_MS;Yellow_TE;Orange_TE;Cyan_TE;Dblue_TE;Black_TE;Green_RGB;Yellow_RGB;Orange1_RGB;Orange2_RGB;Red_RGB;Sicaklik_Ort;Sicaklik_Max;Sicaklik_Min;Nem_Ort;Nem_Max;Nem_Min;Yagis;Ruzgar_Ort;Ruzgar_Max;Gunluk_ET0;Ilaclama;Kullenme;Tarih
1;16,90465002;37,99807254;24,7728534;9,366119068;5,255775212;11,38044948;17,7683399;26,38964786;29,13040372;14,21190959;10,64127837;15,70501267;24,21689381;27,25605308;22,62438629;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
2;17,64092354;34,05604382;21,41426875;11,13525907;6,622319315;10,96859475;19,13446622;27,00816474;29,51941562;14,81191083;11,71911451;17,74359661;22,36429334;26,24721963;22,61803036;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
3;34,61254492;32,48908844;18,0972944;11,58519829;4,974161468;10,80479077;18,3255071;26,29356837;29,38139106;13,97548809;10,36436788;17,46548879;22,06422798;25,12251007;23,59552516;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
4;22,97525157;38,06447654;26,0674464;10,0414978;6,048192956;10,84556282;17,86220086;26,51892102;28,87678772;14,92862563;11,09892329;15,59247726;22,48186193;27,33665668;23,11993112;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
5;32,38603201;33,69754946;22,17075166;10,46505772;4,977706766;12,20765775;17,92326411;25,91489525;28,55151239;14,38067834;12,77308255;15,00304993;23,2274678;25,97906176;22,98161317;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
6;17,82491121;35,28783545;19,53855936;11,4244775;7,001968163;12,15193739;17,94334269;26,26928244;28,69877008;14,21768678;8,009642404;16,08614228;24,19868728;25,85525814;22,68511511;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
7;33,71083569;37,09592969;18,24691905;15,13773954;4,553263411;12,2081045;18,12366085;25,71443788;28,78213013;14,72008996;13,24479459;15,08439336;24,14087897;27,07035899;23,23982235;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
8;25,73481586;34,55966822;26,62466664;13,78084139;6,908207077;11,78376968;18,63673009;27,12915006;28,90799733;14,69955048;12,81764913;15,27538502;23,15874851;26,3394195;23,0722652;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
9;21,80149887;38,27724386;19,34362206;12,51403283;4,701023517;11,97866297;17,89800587;25,66866269;29,93807743;14,21075208;11,41919999;17,68284583;22,50237855;28,32037102;22,94480869;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
15;35,19469918;36,28434422;17,05651712;12,32746838;5,876935431;11,87037636;18,31104006;26,11184463;29,13220181;13,80530234;13,00837772;17,28577162;22,06959398;28,27506714;23,46514281;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
16;35,71569466;33,2493336;23,33192227;12,86221484;4,945611439;11,93516933;17,79289904;25,97538791;28,51245698;14,75352273;12,01906955;15,43059916;24,26105258;26,9485174;23,47771386;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
17;23,061244;32,59408253;19,16624493;13,67171416;7,349056163;11,05081719;19,01717386;25,93000078;29,51043882;14,84883168;12,18315734;16,9811186;22,99506414;27,93031373;22,86456328;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
18;20,65303333;38,01252423;20,83315501;13,17972445;5,564184437;11,4110058;17,74330487;26,39783988;29,5757431;14,07080388;8,594340755;16,12509009;20,93214648;27,5564124;22,99706159;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
19;25,48032326;37,24574069;22,0347525;12,21307111;5,496434796;11,82038942;19,12466505;25,84429493;28,89051079;14,29809645;11,56272352;17,78996602;22,29769268;26,45845927;23,60145405;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
20;29,01630801;38,43243848;26,33199833;12,61445224;7,499692618;12,0727134;18,27207938;26,08258035;28,48217524;14,64554185;8,419108208;17,46773394;23,95144489;27,17032194;23,28226692;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
21;36,26779523;37,06140594;26,79786421;15,00296985;7,295380987;11,40511803;19,02172311;25,87134953;28,59899508;15,17109002;12,87378726;16,21121989;22,05380732;25,29751944;23,81462303;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
22;36,04467947;38,66859141;21,87207183;10,07815609;5,315868215;12,22726484;18,11521096;26,92442091;29,10058314;14,57726549;13,43128243;16,58057387;21,64093907;26,72081271;23,78497036;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
23;36,61923607;37,22025662;18,10304531;12,69330389;7,613460521;11,71277108;19,00499712;27,03416742;29,11609895;14,19414116;11,35095557;16,48133041;23,97608559;26,94709409;22,66277162;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
24;18,06561486;38,21829632;23,46855031;13,56201628;6,786681441;12,07685112;17,9654319;25,72784243;28,52471846;14,52191823;8,797158271;15,59934691;23,16045616;28,19758638;23,52059378;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
